Attendance (%),Study Hours (per day),Assignment Score,Previous GPA,Participation Level,Internet Usage (hrs/day),Sleep Hours,Family Support Index,Extra Curricular,Final Exam Score,Pass/Fail,Performance Category
86.89,2.8,58.17,4.15,Low,9.69,4.61,3,No,57.98,Pass,Medium
77.72,2.99,43.94,7.62,Low,2.57,6.67,3,No,82.1,Pass,High
80.59,3.15,53.69,7.96,High,6.83,8.4,4,Yes,91.25,Pass,High
70.98,6.62,54.8,8.13,Medium,3.21,6.05,7,Yes,100.0,Pass,High
62.39,4.77,69.04,4.72,Medium,7.46,6.41,2,No,73.75,Pass,Medium
67.8,3.18,84.85,9.63,Low,7.99,4.35,10,No,75.96,Pass,High
87.89,5.27,68.43,5.09,High,7.06,5.39,4,No,94.26,Pass,High
50.72,6.01,43.47,7.74,High,6.53,5.62,4,No,97.68,Pass,High
55.8,2.91,97.47,5.34,Medium,9.03,8.73,1,No,68.5,Pass,Medium
52.3,3.89,96.56,5.84,High,1.71,5.41,10,No,97.3,Pass,High
52.04,1.85,87.11,7.28,Medium,3.98,6.3,8,Yes,78.57,Pass,High
92.77,2.27,99.48,6.5,Medium,3.23,7.36,1,No,88.12,Pass,High
85.18,5.77,72.67,4.96,Medium,9.89,4.81,8,No,89.53,Pass,High
73.71,2.27,97.77,5.03,High,4.5,6.43,7,Yes,93.32,Pass,High
54.89,4.68,44.54,6.51,Medium,7.59,7.69,9,No,82.51,Pass,High
74.58,5.96,61.94,8.54,Medium,7.16,8.33,8,No,100.0,Pass,High
73.67,1.75,53.52,9.39,Low,2.91,7.13,5,Yes,75.62,Pass,High
58.66,4.97,51.75,4.5,Medium,3.15,7.35,8,No,84.47,Pass,High
71.69,2.8,48.45,6.36,Medium,3.53,4.63,10,Yes,89.66,Pass,High
69.93,7.74,77.34,4.6,Low,4.7,8.73,3,No,99.51,Pass,High
80.79,4.38,86.88,4.1,Low,3.11,4.66,10,Yes,83.53,Pass,High
81.75,6.64,74.7,7.97,High,1.18,7.87,7,Yes,100.0,Pass,High
52.27,4.85,48.82,7.61,Medium,8.91,5.32,4,Yes,75.76,Pass,High
68.73,1.3,88.67,4.98,High,9.69,8.67,5,No,74.27,Pass,Medium
81.29,5.43,78.16,5.4,High,4.07,7.6,9,No,100.0,Pass,High
75.16,7.66,63.29,4.14,Low,4.05,7.77,7,Yes,97.15,Pass,High
92.82,5.21,80.45,9.01,High,1.06,5.1,4,Yes,100.0,Pass,High
82.93,6.73,55.59,9.85,Medium,7.12,6.22,6,No,100.0,Pass,High
58.15,7.19,60.71,4.81,Low,8.43,7.09,10,No,92.06,Pass,High
53.53,2.6,95.05,5.39,Medium,2.32,7.85,7,No,88.81,Pass,High
82.12,2.48,57.43,9.21,Medium,2.44,4.52,10,No,99.02,Pass,High
51.33,5.28,68.2,9.56,Low,8.11,8.81,9,No,87.95,Pass,High
79.29,3.88,93.41,6.52,Medium,6.55,8.45,4,Yes,89.73,Pass,High
97.01,6.88,82.46,4.3,Low,1.4,5.35,10,No,100.0,Pass,High
78.77,7.3,43.73,4.24,Medium,6.6,8.11,3,Yes,99.31,Pass,High
69.41,3.47,48.84,7.44,Low,3.78,6.59,8,No,69.72,Pass,Medium
82.16,2.66,40.47,6.36,High,4.32,6.31,1,Yes,83.54,Pass,High
72.91,6.46,77.86,4.17,Medium,7.93,5.57,9,Yes,94.9,Pass,High
77.28,2.92,66.86,7.5,Low,8.3,6.9,1,No,67.81,Pass,Medium
97.07,6.76,48.06,4.07,Medium,4.6,7.65,2,Yes,92.55,Pass,High
69.31,3.97,97.48,8.72,Medium,9.52,6.05,8,Yes,91.05,Pass,High
98.06,5.67,71.78,5.84,Medium,4.66,7.15,9,Yes,100.0,Pass,High
95.27,1.67,54.51,4.24,Low,7.95,7.5,7,Yes,57.19,Pass,Medium
59.79,5.37,70.04,7.53,High,5.35,7.56,3,No,91.39,Pass,High
53.47,4.16,80.78,6.39,High,9.08,4.26,7,Yes,78.15,Pass,High
55.04,5.11,44.57,9.84,High,9.17,8.3,6,No,93.82,Pass,High
50.91,2.18,56.48,7.27,Low,1.79,6.29,2,Yes,63.21,Pass,Medium
54.72,6.16,88.42,5.65,High,9.43,5.31,3,No,90.87,Pass,High
84.15,7.04,67.58,8.26,Low,8.43,5.21,10,No,100.0,Pass,High
53.56,2.52,72.79,5.63,Medium,8.12,6.42,10,No,79.53,Pass,High
65.95,1.67,65.97,9.43,Medium,2.81,8.43,5,Yes,79.12,Pass,High
92.24,1.17,42.63,6.25,High,8.25,5.89,10,No,77.67,Pass,High
51.16,5.49,49.94,7.3,Low,8.65,7.75,4,No,79.04,Pass,High
90.72,5.25,66.73,4.3,Medium,3.6,4.48,2,Yes,89.75,Pass,High
64.09,4.83,52.55,6.56,Low,9.57,6.38,4,No,61.6,Pass,Medium
55.91,2.62,43.0,8.99,Low,1.45,8.96,8,Yes,75.84,Pass,High
84.84,3.74,90.62,8.83,Medium,2.35,7.85,5,Yes,100.0,Pass,High
81.45,5.16,98.87,5.35,Low,5.84,5.05,5,No,85.78,Pass,High
93.87,4.48,87.59,5.36,Medium,6.18,6.51,10,Yes,99.25,Pass,High
86.75,7.91,91.23,8.9,Medium,6.81,5.17,3,Yes,100.0,Pass,High
90.17,1.96,54.52,9.58,Medium,1.15,6.05,8,Yes,93.18,Pass,High
64.1,5.87,97.64,4.57,Low,9.64,7.9,6,No,86.15,Pass,High
58.87,3.83,51.82,6.7,Medium,1.4,7.86,2,Yes,83.67,Pass,High
87.53,4.0,97.09,6.02,Low,2.29,5.14,2,Yes,89.99,Pass,High
90.34,6.02,99.69,9.22,Medium,1.13,8.61,9,Yes,100.0,Pass,High
99.53,5.85,82.7,4.5,Medium,6.1,6.96,7,No,99.52,Pass,High
70.63,7.94,98.87,5.27,High,9.39,5.9,10,Yes,100.0,Pass,High
68.6,1.9,74.17,8.51,High,6.99,6.51,9,No,89.66,Pass,High
88.82,1.73,55.57,4.31,High,8.4,7.03,6,Yes,71.2,Pass,Medium
67.04,6.07,66.22,6.96,Low,1.12,6.8,5,No,94.67,Pass,High
96.54,5.05,75.61,6.65,Low,5.88,6.43,1,No,88.4,Pass,High
92.92,2.92,44.38,6.01,Medium,5.14,6.52,6,No,76.78,Pass,High
71.45,1.56,77.34,6.37,Medium,5.49,4.88,6,Yes,73.75,Pass,Medium
87.54,1.6,98.87,7.18,Medium,1.65,8.06,3,Yes,95.91,Pass,High
87.73,7.26,51.41,4.97,Medium,7.16,6.71,3,Yes,96.43,Pass,High
55.16,2.34,87.56,7.43,Low,5.53,4.66,3,No,57.14,Pass,Medium
95.13,3.26,94.47,8.83,Medium,7.89,7.83,3,Yes,89.62,Pass,High
75.26,2.59,96.62,8.56,Medium,5.37,8.66,7,Yes,95.42,Pass,High
91.32,3.48,97.61,4.92,High,2.34,8.74,10,No,100.0,Pass,High
66.0,1.49,71.29,4.9,Medium,6.83,5.85,2,Yes,58.23,Pass,Medium
94.78,4.63,98.64,5.61,Medium,2.55,4.68,10,Yes,100.0,Pass,High
69.46,1.47,85.44,6.17,Medium,8.85,6.59,10,No,76.1,Pass,High
50.54,6.6,49.7,6.45,Low,6.52,4.56,2,No,67.12,Pass,Medium
95.27,2.64,68.61,8.08,High,2.41,8.67,3,Yes,100.0,Pass,High
54.56,4.78,83.1,4.34,Medium,9.66,4.92,10,No,90.07,Pass,High
65.97,7.16,54.84,4.21,Medium,5.67,5.26,7,Yes,93.55,Pass,High
97.5,5.56,78.44,6.35,High,1.66,6.03,3,Yes,100.0,Pass,High
97.53,4.73,80.0,8.18,Medium,6.64,5.92,7,Yes,100.0,Pass,High
78.67,3.27,49.76,5.16,Low,3.28,7.97,9,Yes,84.69,Pass,High
81.59,3.33,73.91,7.85,Medium,8.23,6.28,10,Yes,88.23,Pass,High
72.42,5.69,86.3,5.56,Low,8.36,4.85,4,No,79.42,Pass,High
64.66,7.96,69.93,9.32,Low,9.81,5.34,7,No,93.32,Pass,High
66.43,5.63,40.73,9.37,Medium,5.52,6.55,9,Yes,97.53,Pass,High
83.63,4.9,40.54,5.78,High,5.09,4.74,8,No,94.06,Pass,High
87.62,6.11,61.42,5.38,Low,7.78,7.06,8,No,86.54,Pass,High
89.58,4.26,95.57,6.47,High,2.19,6.83,9,Yes,100.0,Pass,High
89.48,1.42,53.72,5.44,Medium,5.92,7.57,5,No,64.45,Pass,Medium
54.56,4.94,78.06,8.03,Low,5.92,8.69,5,No,87.74,Pass,High
74.72,7.7,53.32,8.96,Medium,1.81,8.56,3,Yes,100.0,Pass,High
52.88,2.23,59.3,8.04,High,4.76,8.73,5,Yes,81.33,Pass,High
77.48,5.83,90.88,8.95,Medium,8.68,5.22,8,Yes,100.0,Pass,High
72.08,2.41,83.73,6.38,Medium,8.71,4.66,5,Yes,66.49,Pass,Medium
94.39,4.75,45.72,4.94,Low,1.89,5.51,4,Yes,76.45,Pass,High
67.55,1.68,65.72,8.43,Medium,1.82,8.48,8,Yes,88.46,Pass,High
55.85,4.15,41.75,6.16,Medium,3.36,8.86,7,Yes,75.5,Pass,High
57.15,6.29,68.85,8.03,Medium,8.87,8.3,6,No,92.42,Pass,High
88.08,3.43,79.75,5.62,Low,2.16,4.55,5,Yes,93.8,Pass,High
80.91,5.65,47.11,4.49,High,7.48,8.74,5,No,85.54,Pass,High
55.06,6.57,57.33,9.96,High,1.91,6.12,10,No,100.0,Pass,High
54.21,7.49,63.87,4.94,Medium,6.61,4.05,2,Yes,72.19,Pass,Medium
85.05,2.64,95.17,9.93,Low,4.2,6.21,4,No,85.21,Pass,High
53.64,3.8,99.6,9.86,Medium,8.1,4.23,8,No,98.06,Pass,High
91.09,2.07,42.69,8.76,High,3.1,6.72,8,No,94.93,Pass,High
85.31,7.95,85.66,7.96,Low,6.75,5.69,1,Yes,94.95,Pass,High
54.07,7.49,62.3,7.47,High,3.12,6.37,2,No,100.0,Pass,High
54.24,4.78,63.55,9.2,High,7.42,7.07,5,No,82.81,Pass,High
99.33,6.89,85.26,5.74,Low,8.86,8.34,9,Yes,100.0,Pass,High
68.71,4.65,95.11,6.81,Low,2.14,7.31,10,No,100.0,Pass,High
68.53,5.37,97.06,7.72,Medium,8.8,6.17,7,No,94.12,Pass,High
90.64,1.62,74.63,6.47,Medium,6.34,8.1,10,No,90.31,Pass,High
97.36,6.29,61.43,6.56,High,2.14,8.53,5,No,100.0,Pass,High
99.3,1.89,87.25,5.98,Low,4.85,4.6,1,No,70.4,Pass,Medium
87.67,6.78,55.06,7.39,Low,2.45,6.66,6,Yes,100.0,Pass,High
68.81,6.47,73.84,9.1,Medium,7.3,5.42,8,No,97.37,Pass,High
54.18,5.96,61.51,5.21,High,7.83,4.24,7,Yes,96.93,Pass,High
88.86,1.25,79.4,9.61,High,1.95,7.34,2,No,89.75,Pass,High
77.92,3.12,54.42,8.13,Medium,5.56,8.31,5,Yes,83.19,Pass,High
71.21,2.84,51.5,8.94,Low,8.33,4.81,4,Yes,59.78,Pass,Medium
95.32,3.52,95.09,7.34,Medium,9.43,8.06,9,Yes,95.77,Pass,High
55.56,1.61,46.11,8.68,Medium,5.62,8.27,10,No,89.18,Pass,High
74.63,7.56,70.36,4.1,Medium,9.55,8.57,1,No,87.48,Pass,High
50.57,4.88,53.25,8.91,Medium,5.82,5.33,6,No,86.35,Pass,High
73.43,3.14,42.34,4.24,Low,4.55,8.52,3,No,70.21,Pass,Medium
52.82,3.78,42.16,9.34,Medium,8.63,5.6,9,No,77.26,Pass,High
55.94,4.13,50.51,9.95,Low,5.44,6.76,5,Yes,76.08,Pass,High
55.88,5.2,92.01,5.76,Medium,5.25,4.25,6,Yes,89.79,Pass,High
82.46,4.61,56.95,5.26,High,5.41,4.22,9,Yes,92.08,Pass,High
87.3,7.44,97.03,8.59,Low,8.62,7.6,9,No,100.0,Pass,High
79.17,4.48,74.9,5.52,High,8.49,6.22,8,No,97.5,Pass,High
98.11,7.95,66.2,9.19,Medium,4.63,5.28,9,Yes,100.0,Pass,High
68.74,6.96,74.81,4.62,Medium,4.0,4.95,4,No,99.68,Pass,High
64.29,2.46,71.0,4.76,Medium,5.43,7.35,6,No,73.51,Pass,Medium
93.43,7.51,85.53,9.87,Low,6.15,4.0,5,Yes,99.47,Pass,High
61.18,1.81,56.95,8.04,High,3.15,8.03,5,Yes,65.54,Pass,Medium
98.16,6.72,61.18,9.08,Low,8.15,4.4,4,No,83.74,Pass,High
50.61,3.66,93.65,5.95,Low,5.38,4.96,2,No,59.63,Pass,Medium
98.49,7.15,96.79,8.06,Medium,4.01,5.93,6,Yes,100.0,Pass,High
52.16,7.08,93.55,7.57,High,1.96,6.42,9,No,100.0,Pass,High
94.56,6.64,65.17,7.62,Medium,3.15,5.77,1,Yes,90.69,Pass,High
76.39,6.53,86.82,8.1,Low,9.54,5.6,7,Yes,93.24,Pass,High
99.65,3.13,68.58,7.45,Medium,3.75,8.82,6,Yes,90.4,Pass,High
53.69,1.57,69.85,6.57,High,2.52,7.21,3,No,78.22,Pass,High
77.69,3.82,52.28,5.66,Medium,5.15,4.12,1,Yes,72.44,Pass,Medium
98.47,2.21,75.47,8.61,High,3.76,6.15,4,Yes,96.31,Pass,High
76.15,5.86,51.17,5.36,High,1.32,8.38,9,No,96.61,Pass,High
81.47,3.42,59.89,8.15,Medium,3.91,5.51,2,Yes,81.39,Pass,High
84.79,7.83,91.3,5.4,Low,5.9,4.47,3,No,95.16,Pass,High
72.73,5.49,52.42,7.75,Medium,5.97,7.79,2,No,81.24,Pass,High
81.38,6.76,44.27,8.48,Low,4.21,7.03,2,No,80.49,Pass,High
79.22,1.93,44.14,5.31,Low,5.03,6.85,10,Yes,70.09,Pass,Medium
95.06,7.03,96.45,4.36,Medium,9.69,4.27,8,Yes,100.0,Pass,High
52.27,7.46,70.42,4.79,Low,4.4,4.7,3,No,70.07,Pass,Medium
64.05,4.41,64.56,7.64,Low,3.32,7.11,7,No,82.26,Pass,High
97.52,5.24,88.65,9.1,Medium,3.19,5.04,8,No,100.0,Pass,High
94.51,6.35,90.15,4.27,Medium,5.12,6.52,3,Yes,100.0,Pass,High
72.78,2.22,59.93,8.4,Medium,7.84,6.72,2,No,67.88,Pass,Medium
81.01,4.52,81.62,6.05,Low,2.85,5.42,8,No,100.0,Pass,High
63.87,3.79,86.27,6.87,High,7.38,8.74,3,No,79.48,Pass,High
59.41,2.02,79.28,9.57,Low,1.19,8.21,7,Yes,74.92,Pass,Medium
73.18,3.57,49.1,5.99,High,4.77,7.61,1,No,84.81,Pass,High
67.67,1.48,92.55,6.79,Medium,7.98,4.39,6,Yes,58.26,Pass,Medium
79.18,1.18,72.35,4.08,High,4.05,4.53,9,Yes,80.86,Pass,High
53.89,1.95,56.95,4.49,Medium,6.07,6.46,3,No,57.18,Pass,Medium
98.72,7.74,65.51,5.55,Medium,2.84,4.8,7,No,100.0,Pass,High
99.31,4.85,42.25,4.17,High,7.68,8.89,6,No,90.53,Pass,High
84.91,7.76,47.67,7.79,Medium,1.47,4.79,8,Yes,100.0,Pass,High
76.8,4.03,85.93,6.56,High,8.67,6.44,3,Yes,85.2,Pass,High
65.48,3.18,40.0,7.29,Medium,2.78,5.82,3,Yes,74.0,Pass,Medium
90.69,4.54,64.99,5.05,Low,8.87,7.2,4,No,73.89,Pass,Medium
84.24,4.08,71.35,5.78,Low,4.17,4.65,3,Yes,73.55,Pass,Medium
58.13,1.74,43.28,7.98,Medium,7.5,6.15,9,No,70.59,Pass,Medium
95.55,5.49,98.38,9.79,Medium,3.87,5.37,4,No,100.0,Pass,High
91.13,2.51,53.57,4.3,High,9.15,8.44,6,No,77.26,Pass,High
97.49,5.34,58.25,9.34,Low,2.14,4.2,8,Yes,100.0,Pass,High
86.29,5.55,58.24,7.46,High,2.61,8.57,8,Yes,100.0,Pass,High
80.67,2.06,53.82,7.38,Medium,5.44,8.16,5,Yes,70.94,Pass,Medium
70.91,1.43,40.09,7.0,Medium,1.74,5.49,5,No,72.29,Pass,Medium
96.64,6.47,83.76,4.42,High,2.76,7.95,6,Yes,100.0,Pass,High
93.3,4.22,98.01,4.54,Medium,9.49,4.16,10,Yes,95.74,Pass,High
52.26,1.41,53.46,7.61,Low,9.79,8.83,7,No,65.7,Pass,Medium
51.32,7.96,79.78,6.05,High,4.39,6.63,10,No,100.0,Pass,High
68.82,1.4,84.51,9.5,Low,9.31,5.52,7,Yes,73.04,Pass,Medium
90.53,5.87,90.91,6.44,Low,5.9,5.81,4,No,75.76,Pass,High
99.36,7.89,65.36,4.86,Low,3.43,4.33,6,Yes,100.0,Pass,High
57.52,2.67,58.18,8.29,High,7.32,8.95,7,No,89.22,Pass,High
79.71,2.0,59.52,5.76,Medium,6.93,4.2,5,No,60.37,Pass,Medium
69.04,1.85,82.76,7.15,Low,9.9,7.27,5,Yes,64.97,Pass,Medium
98.5,3.12,89.01,8.19,Low,3.39,6.21,2,No,80.44,Pass,High
92.11,1.71,50.9,9.4,Low,7.05,8.74,7,No,82.73,Pass,High
91.92,5.85,62.26,8.75,Medium,1.47,5.23,6,No,100.0,Pass,High
73.43,1.44,94.12,8.06,Medium,2.02,6.66,1,Yes,74.97,Pass,Medium
70.74,4.57,88.4,8.08,High,1.04,6.41,4,No,100.0,Pass,High
63.67,7.98,99.09,9.68,Medium,10.0,7.51,3,No,100.0,Pass,High
52.82,6.7,85.25,5.77,High,8.22,4.34,3,Yes,95.0,Pass,High
93.24,5.31,63.59,4.01,High,8.08,4.97,7,Yes,100.0,Pass,High
90.65,3.14,75.44,5.63,High,5.59,5.07,10,No,85.89,Pass,High
99.99,5.37,79.66,5.31,High,3.7,7.69,4,No,100.0,Pass,High
99.83,4.69,44.71,7.97,High,2.36,4.95,8,No,100.0,Pass,High
77.77,3.98,72.67,7.8,Low,3.56,6.87,9,Yes,83.15,Pass,High
88.45,1.91,82.56,7.56,Medium,4.38,5.08,3,No,75.5,Pass,High
97.24,7.21,50.04,4.1,Low,7.81,8.31,5,Yes,100.0,Pass,High
92.48,4.15,86.84,8.37,High,5.86,8.71,4,Yes,99.44,Pass,High
62.37,2.36,75.03,5.94,Medium,1.7,6.59,10,No,77.53,Pass,High
72.53,3.57,97.13,7.99,Low,1.16,5.76,6,No,91.55,Pass,High
56.46,3.9,42.55,7.34,Low,1.92,5.17,10,Yes,71.77,Pass,Medium
97.7,6.79,55.92,6.06,High,4.69,4.25,4,No,100.0,Pass,High
80.31,6.14,76.09,4.81,Low,9.4,5.34,8,No,81.03,Pass,High
61.43,6.39,57.79,4.57,Low,6.74,7.27,3,Yes,71.8,Pass,Medium
83.59,1.08,82.87,8.99,Low,8.22,6.67,5,No,70.16,Pass,Medium
80.91,3.91,85.54,9.51,Low,5.2,8.72,1,Yes,84.68,Pass,High
67.91,4.37,46.15,7.9,Low,4.25,5.98,6,No,80.7,Pass,High
55.68,1.13,70.83,4.62,High,1.98,7.47,5,Yes,77.35,Pass,High
83.58,2.82,70.53,6.41,High,8.88,6.45,8,Yes,85.18,Pass,High
76.02,6.32,62.16,8.37,Low,8.05,6.56,9,No,89.26,Pass,High
88.62,1.96,95.98,8.68,High,2.51,5.34,8,Yes,100.0,Pass,High
76.01,4.75,89.65,4.71,High,5.61,6.27,8,Yes,95.62,Pass,High
92.61,2.51,81.83,4.0,Medium,5.39,6.35,3,No,71.66,Pass,Medium
77.6,1.08,82.86,8.27,Low,6.63,7.53,4,No,70.02,Pass,Medium
78.05,2.69,67.7,6.14,High,9.52,8.7,4,No,69.91,Pass,Medium
93.83,7.83,95.26,5.53,High,6.22,5.65,5,Yes,100.0,Pass,High
70.17,6.61,81.68,4.08,Low,5.86,4.21,9,Yes,91.09,Pass,High
56.7,7.72,83.74,7.24,Medium,1.45,6.48,9,Yes,100.0,Pass,High
51.44,4.41,91.7,9.11,Low,1.57,6.72,10,No,95.72,Pass,High
87.76,1.77,56.44,9.75,Medium,2.69,4.84,1,Yes,82.92,Pass,High
81.02,4.84,88.42,7.39,Low,1.29,7.8,8,Yes,100.0,Pass,High
85.2,4.18,51.71,7.09,Low,7.69,8.92,1,No,73.94,Pass,Medium
60.65,6.91,60.72,4.51,Low,7.51,8.73,2,Yes,88.79,Pass,High
56.82,1.69,60.14,7.29,Low,2.22,4.99,7,No,68.37,Pass,Medium
50.73,4.42,98.71,6.28,Medium,8.52,8.38,8,No,86.26,Pass,High
67.53,2.05,91.39,7.64,Medium,2.39,7.52,1,No,80.51,Pass,High
79.5,3.27,82.07,6.33,High,3.71,6.27,3,Yes,86.96,Pass,High
69.61,6.16,83.62,5.44,Low,3.24,6.7,7,Yes,97.38,Pass,High
71.87,4.33,73.72,4.57,Medium,4.35,8.25,9,Yes,99.46,Pass,High
95.21,3.63,96.83,5.89,Medium,3.29,6.4,8,No,99.73,Pass,High
67.41,3.76,69.78,4.58,Medium,5.4,5.87,8,No,81.92,Pass,High
75.7,4.22,62.83,5.06,Low,4.67,6.47,9,No,86.88,Pass,High
89.18,6.5,49.78,9.92,High,9.88,6.9,10,Yes,100.0,Pass,High
69.83,7.24,87.17,6.66,Medium,1.5,4.95,3,Yes,100.0,Pass,High
81.1,7.69,84.07,7.19,Low,2.28,8.5,8,Yes,100.0,Pass,High
93.12,6.51,63.06,9.24,Medium,1.48,7.37,1,Yes,100.0,Pass,High
97.48,3.21,41.51,9.97,Medium,6.63,7.17,8,Yes,93.11,Pass,High
57.35,5.82,90.34,7.5,High,1.49,4.5,7,No,98.18,Pass,High
96.33,4.06,40.69,8.87,Medium,8.53,7.02,8,Yes,94.94,Pass,High
74.61,2.78,82.22,5.96,Medium,5.61,4.6,1,No,73.54,Pass,Medium
62.91,6.89,98.22,5.83,Low,5.74,4.39,6,No,95.42,Pass,High
72.96,1.27,66.26,6.42,Low,6.05,6.64,7,Yes,60.08,Pass,Medium
99.0,7.31,54.1,8.04,High,2.54,6.01,5,No,100.0,Pass,High
74.63,4.23,82.29,8.09,Low,2.78,6.94,5,Yes,94.42,Pass,High
66.44,5.46,89.03,5.89,Low,3.87,4.45,7,Yes,84.46,Pass,High
81.67,5.62,72.79,4.8,High,6.34,6.15,3,No,89.77,Pass,High
62.01,7.27,98.02,7.79,Medium,2.89,4.87,6,Yes,100.0,Pass,High
53.79,5.46,43.1,4.77,High,2.05,8.94,7,Yes,92.39,Pass,High
56.44,5.3,70.29,7.47,Low,9.73,6.81,1,No,69.67,Pass,Medium
56.4,1.47,83.11,8.16,High,1.2,7.44,2,No,77.56,Pass,High
57.6,4.63,91.76,8.2,Medium,8.22,5.63,4,No,93.51,Pass,High
56.94,2.05,50.76,8.52,High,8.09,4.47,8,No,76.86,Pass,High
82.04,6.16,88.0,9.24,Low,3.67,8.88,10,No,100.0,Pass,High
59.09,4.59,73.16,7.0,Low,2.22,5.43,6,No,81.94,Pass,High
67.28,5.76,63.79,8.38,High,2.31,6.12,1,Yes,92.22,Pass,High
94.84,1.29,47.9,7.72,Medium,7.28,7.25,10,Yes,79.59,Pass,High
73.7,1.59,91.92,5.12,High,6.79,4.12,5,Yes,77.85,Pass,High
83.38,6.01,49.44,4.15,Medium,8.04,8.05,7,No,85.57,Pass,High
58.62,1.5,58.59,5.71,Medium,9.44,6.68,6,Yes,60.7,Pass,Medium
59.61,1.5,57.4,6.66,High,7.23,5.39,9,No,72.1,Pass,Medium
52.04,1.08,92.28,7.7,Medium,2.4,4.31,8,Yes,84.06,Pass,High
58.45,7.7,80.36,9.1,Low,3.19,4.81,4,No,96.61,Pass,High
63.93,6.16,87.8,5.18,High,8.58,8.48,5,Yes,100.0,Pass,High
58.85,3.47,55.03,4.75,Medium,2.88,7.43,7,No,86.88,Pass,High
54.44,3.08,77.49,9.78,Low,1.65,5.25,8,No,83.56,Pass,High
56.03,3.45,74.3,4.65,High,7.33,4.33,5,No,71.46,Pass,Medium
73.04,6.42,89.97,6.87,Low,4.62,7.45,9,No,100.0,Pass,High
60.32,5.63,94.37,7.51,Low,9.28,6.86,10,Yes,83.59,Pass,High
68.21,2.3,40.73,7.25,Low,6.85,6.02,4,Yes,62.09,Pass,Medium
75.17,2.22,80.44,4.52,Medium,1.81,5.82,4,No,69.14,Pass,Medium
84.52,1.69,43.11,4.34,High,9.53,5.08,8,No,74.32,Pass,Medium
51.97,5.62,72.93,4.63,High,3.33,7.35,1,No,87.23,Pass,High
89.97,6.35,57.26,7.51,Medium,4.03,8.85,8,Yes,100.0,Pass,High
81.4,2.86,58.41,7.27,High,4.62,4.88,5,No,81.1,Pass,High
54.09,1.15,61.18,5.4,Low,1.46,6.99,1,No,48.17,Pass,Low
93.68,1.58,77.28,7.83,High,5.47,6.12,4,Yes,91.71,Pass,High
96.04,7.78,60.04,8.92,Medium,2.11,6.23,2,No,100.0,Pass,High
53.05,3.07,83.96,4.25,Low,4.61,5.27,4,No,80.93,Pass,High
63.84,6.38,64.27,6.99,Medium,4.16,8.13,8,Yes,98.62,Pass,High
90.31,5.37,44.1,8.14,Low,7.96,6.43,5,No,80.51,Pass,High
87.41,3.67,87.03,5.51,Low,8.23,6.72,1,No,67.4,Pass,Medium
59.23,2.44,57.15,5.85,High,2.38,5.52,7,Yes,80.46,Pass,High
60.47,1.85,65.97,7.68,Low,4.3,4.91,1,No,67.21,Pass,Medium
68.52,5.31,81.13,9.39,Medium,4.36,4.43,9,Yes,100.0,Pass,High
74.23,6.42,59.95,8.86,High,2.36,7.57,3,No,100.0,Pass,High
80.91,5.51,43.4,7.5,Medium,8.19,4.98,3,No,87.15,Pass,High
68.45,4.71,62.44,8.38,Low,7.37,7.45,6,No,86.46,Pass,High
73.13,1.29,96.67,6.19,Medium,2.71,5.95,10,No,88.73,Pass,High
87.37,7.78,78.5,7.85,Medium,4.3,6.08,6,No,100.0,Pass,High
51.83,6.59,80.29,6.8,Low,1.95,6.35,6,Yes,92.11,Pass,High
62.62,3.05,77.94,5.14,High,6.65,5.84,1,No,73.73,Pass,Medium
85.67,7.86,51.94,8.21,Medium,2.09,4.5,5,No,100.0,Pass,High
94.76,5.21,65.1,7.34,Low,9.87,5.55,6,Yes,90.53,Pass,High
75.58,5.08,85.06,6.15,High,8.03,7.32,8,Yes,97.55,Pass,High
76.61,6.24,46.08,9.47,High,4.51,7.33,1,No,90.48,Pass,High
55.36,6.68,56.67,4.13,High,6.21,5.43,5,Yes,82.67,Pass,High
72.37,5.6,56.58,5.89,Medium,9.2,6.3,3,No,73.13,Pass,Medium
76.63,1.9,65.92,4.34,Medium,5.99,4.97,2,Yes,60.66,Pass,Medium
62.12,3.37,98.82,8.6,Medium,2.57,5.05,8,Yes,96.14,Pass,High
63.46,7.5,44.05,8.21,High,4.41,4.12,7,No,100.0,Pass,High
68.86,2.57,71.12,5.99,Medium,8.59,8.48,10,Yes,83.43,Pass,High
51.0,3.61,50.76,8.05,Low,6.8,5.05,7,No,67.66,Pass,Medium
66.1,4.02,98.24,6.38,Medium,6.86,5.14,5,Yes,82.89,Pass,High
60.57,4.08,46.8,8.54,Medium,8.8,5.4,9,Yes,89.11,Pass,High
66.37,5.29,64.22,6.73,High,9.05,4.64,5,Yes,92.25,Pass,High
55.99,7.6,84.27,6.47,Medium,9.28,7.2,2,No,93.73,Pass,High
94.53,2.68,82.27,9.61,Low,1.85,4.38,3,No,89.59,Pass,High
79.68,1.85,65.36,5.51,High,5.9,4.67,4,Yes,63.79,Pass,Medium
83.96,2.38,60.79,4.72,Low,7.66,7.22,5,No,61.23,Pass,Medium
89.46,7.21,63.86,7.51,High,7.81,5.7,3,No,100.0,Pass,High
74.92,5.52,55.86,9.82,High,6.46,7.54,7,No,100.0,Pass,High
54.35,3.0,52.32,6.27,Medium,2.5,6.79,5,Yes,67.79,Pass,Medium
76.86,6.71,68.98,4.37,Low,8.18,5.28,5,No,84.57,Pass,High
